identifier,url,format
performance-projects,http://data.mcc.gov/raw/performance/projects.csv,csv
performance-compacts,http://data.mcc.gov/raw/performance/compacts.csv,csv
performance-activities,http://data.mcc.gov/raw/performance/activities.csv,csv
performance-kpis,http://data.mcc.gov/raw/performance/kpis.csv,csv
performance-notes,http://data.mcc.gov/raw/performance/notes.csv,csv
performance-indicators,http://data.mcc.gov/raw/performance/indicators.csv,csv
performance-indicator_details,http://data.mcc.gov/raw/performance/indicator_details.csv,csv
selection-fy13-selection_indicators_fy13,http://data.mcc.gov/raw/selection/fy13/selection_indicators_fy13.csv,csv
selection-fy13-indicator_categories_fy13,http://data.mcc.gov/raw/selection/fy13/indicator_categories_fy13.csv,csv
selection-fy13-indicators_fy13,http://data.mcc.gov/raw/selection/fy13/indicators_fy13.csv,csv
selection-fy13-income_categories_fy13,http://data.mcc.gov/raw/selection/fy13/income_categories_fy13.csv,csv
selection-fy13-gni_limits_fy13,http://data.mcc.gov/raw/selection/fy13/gni_limits_fy13.csv,csv
selection-fy13-gni_fy13,http://data.mcc.gov/raw/selection/fy13/gni_fy13.csv,csv
selection-fy13-indicators_threshold_fy13,http://data.mcc.gov/raw/selection/fy13/indicators_threshold_fy13.csv,csv
selection-fy13-access_to_credit_fy13,http://data.mcc.gov/raw/selection/fy13/access_to_credit_fy13.csv,csv
selection-fy13-business_start_up_fy13,http://data.mcc.gov/raw/selection/fy13/business_start_up_fy13.csv,csv
selection-fy13-child_health_fy13,http://data.mcc.gov/raw/selection/fy13/child_health_fy13.csv,csv
selection-fy13-civil_liberties_fy13,http://data.mcc.gov/raw/selection/fy13/civil_liberties_fy13.csv,csv
selection-fy13-control_of_corruption_fy13,http://data.mcc.gov/raw/selection/fy13/control_of_corruption_fy13.csv,csv
selection-fy13-education_expenditures_fy13,http://data.mcc.gov/raw/selection/fy13/education_expenditures_fy13.csv,csv
selection-fy13-fiscal_policy_fy13,http://data.mcc.gov/raw/selection/fy13/fiscal_policy_fy13.csv,csv
selection-fy13-freedom_of_information_fy13,http://data.mcc.gov/raw/selection/fy13/freedom_of_information_fy13.csv,csv
selection-fy13-gender_in_the_economy_fy13,http://data.mcc.gov/raw/selection/fy13/gender_in_the_economy_fy13.csv,csv
selection-fy13-girls_primary_education_completion_rates_fy13,http://data.mcc.gov/raw/selection/fy13/girls_primary_education_completion_rates_fy13.csv,csv
selection-fy13-girls_secondary_education_completion_rates_fy13,http://data.mcc.gov/raw/selection/fy13/girls_secondary_education_completion_rates_fy13.csv,csv
selection-fy13-government_efficiency_fy13,http://data.mcc.gov/raw/selection/fy13/government_efficiency_fy13.csv,csv
selection-fy13-health_expenditures_fy13,http://data.mcc.gov/raw/selection/fy13/health_expenditures_fy13.csv,csv
selection-fy13-immunization_rates_fy13,http://data.mcc.gov/raw/selection/fy13/immunization_rates_fy13.csv,csv
selection-fy13-inflation_fy13,http://data.mcc.gov/raw/selection/fy13/inflation_fy13.csv,csv
selection-fy13-land_rights_and_access_fy13,http://data.mcc.gov/raw/selection/fy13/land_rights_and_access_fy13.csv,csv
selection-fy13-natural_resource_protection_fy13,http://data.mcc.gov/raw/selection/fy13/natural_resource_protection_fy13.csv,csv
selection-fy13-political_rights_fy13,http://data.mcc.gov/raw/selection/fy13/political_rights_fy13.csv,csv
selection-fy13-regulatory_quality_fy13,http://data.mcc.gov/raw/selection/fy13/regulatory_quality_fy13.csv,csv
selection-fy13-rule_of_law_fy13,http://data.mcc.gov/raw/selection/fy13/rule_of_law_fy13.csv,csv
selection-fy13-trade_policy_fy13,http://data.mcc.gov/raw/selection/fy13/trade_policy_fy13.csv,csv
selection-fy13-lic_indicators_fy13,http://data.mcc.gov/raw/selection/fy13/lic_indicators_fy13.csv,csv
selection-fy13-lmic_indicators_fy13,http://data.mcc.gov/raw/selection/fy13/lmic_indicators_fy13.csv,csv
selection-fy12-selection_indicators_fy12,http://data.mcc.gov/raw/selection/fy12/selection_indicators_fy12.csv,csv
selection-fy12-indicator_categories_fy12,http://data.mcc.gov/raw/selection/fy12/indicator_categories_fy12.csv,csv
selection-fy12-indicators_fy12,http://data.mcc.gov/raw/selection/fy12/indicators_fy12.csv,csv
selection-fy12-income_categories_fy12,http://data.mcc.gov/raw/selection/fy12/income_categories_fy12.csv,csv
selection-fy12-gni_limits_fy12,http://data.mcc.gov/raw/selection/fy12/gni_limits_fy12.csv,csv
selection-fy12-gni_fy12,http://data.mcc.gov/raw/selection/fy12/gni_fy12.csv,csv
selection-fy12-indicators_threshold_fy12,http://data.mcc.gov/raw/selection/fy12/indicators_threshold_fy12.csv,csv
selection-fy12-access_to_credit_fy12,http://data.mcc.gov/raw/selection/fy12/access_to_credit_fy12.csv,csv
selection-fy12-business_start_up_fy12,http://data.mcc.gov/raw/selection/fy12/business_start_up_fy12.csv,csv
selection-fy12-child_health_fy12,http://data.mcc.gov/raw/selection/fy12/child_health_fy12.csv,csv
selection-fy12-civil_liberties_fy12,http://data.mcc.gov/raw/selection/fy12/civil_liberties_fy12.csv,csv
selection-fy12-control_of_corruption_fy12,http://data.mcc.gov/raw/selection/fy12/control_of_corruption_fy12.csv,csv
selection-fy12-education_expenditures_fy12,http://data.mcc.gov/raw/selection/fy12/education_expenditures_fy12.csv,csv
selection-fy12-fiscal_policy_fy12,http://data.mcc.gov/raw/selection/fy12/fiscal_policy_fy12.csv,csv
selection-fy12-freedom_of_information_fy12,http://data.mcc.gov/raw/selection/fy12/freedom_of_information_fy12.csv,csv
selection-fy12-gender_in_the_economy_fy12,http://data.mcc.gov/raw/selection/fy12/gender_in_the_economy_fy12.csv,csv
selection-fy12-girls_primary_education_completion_rates_fy12,http://data.mcc.gov/raw/selection/fy12/girls_primary_education_completion_rates_fy12.csv,csv
selection-fy12-girls_secondary_education_completion_rates_fy12,http://data.mcc.gov/raw/selection/fy12/girls_secondary_education_completion_rates_fy12.csv,csv
selection-fy12-government_efficiency_fy12,http://data.mcc.gov/raw/selection/fy12/government_efficiency_fy12.csv,csv
selection-fy12-health_expenditures_fy12,http://data.mcc.gov/raw/selection/fy12/health_expenditures_fy12.csv,csv
selection-fy12-immunization_rates_fy12,http://data.mcc.gov/raw/selection/fy12/immunization_rates_fy12.csv,csv
selection-fy12-inflation_fy12,http://data.mcc.gov/raw/selection/fy12/inflation_fy12.csv,csv
selection-fy12-land_rights_and_access_fy12,http://data.mcc.gov/raw/selection/fy12/land_rights_and_access_fy12.csv,csv
selection-fy12-natural_resource_protection_fy12,http://data.mcc.gov/raw/selection/fy12/natural_resource_protection_fy12.csv,csv
selection-fy12-political_rights_fy12,http://data.mcc.gov/raw/selection/fy12/political_rights_fy12.csv,csv
selection-fy12-regulatory_quality_fy12,http://data.mcc.gov/raw/selection/fy12/regulatory_quality_fy12.csv,csv
selection-fy12-rule_of_law_fy12,http://data.mcc.gov/raw/selection/fy12/rule_of_law_fy12.csv,csv
selection-fy12-trade_policy_fy12,http://data.mcc.gov/raw/selection/fy12/trade_policy_fy12.csv,csv
selection-fy12-lic_indicators_fy12,http://data.mcc.gov/raw/selection/fy12/lic_indicators_fy12.csv,csv
selection-fy12-lmic_indicators_fy12,http://data.mcc.gov/raw/selection/fy12/lmic_indicators_fy12.csv,csv
finance-finance_fy13_q1,http://data.mcc.gov/raw/finance/finance_fy13_q1.csv,csv
